ID,family,marriage,child's forname(s),child's surname,birth day,birth month,birth year,address,sex,father's forename,father's surname,father's occupation,mother's forename,mother's maiden surname,mother's occupation,day of parents' marriage,month of parents' marriage,year of parents' marriage,place of parent's marriage,illegit,notes,Death,CHILD_IDENTITY,MOTHER_IDENTITY,FATHER_IDENTITY,DEATH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,FATHER_BIRTH_RECORD_IDENTITY,MOTHER_BIRTH_RECORD_IDENTITY,MARRIAGE_RECORD_IDENTITY1,MARRIAGE_RECORD_IDENTITY2,MARRIAGE_RECORD_IDENTITY3,MARRIAGE_RECORD_IDENTITY4,MARRIAGE_RECORD_IDENTITY5,MARRIAGE_RECORD_IDENTITY6,MARRIAGE_RECORD_IDENTITY7,MARRIAGE_RECORD_IDENTITY8,IMMIGRANT_GENERATION
1002,211,211,Laura,Black,21,NOVEMBER,1876,"1 Fife Park, Northbank Farm Steadings, Fife",F,Nicholas,Black,COAL TRIMMER,Enya,Mullen,LAUNDRY MAID (DOMESTIC SERV),17,NOVEMBER,1855,"Northbank Farm Steadings Fife",,SYNTHETIC DATA PRODUCED USING VALIPOP,1002,1002,704,693,1002,211,693,704,,,,,,,,,NA
1004,226,226,Tia,Jones,28,DECEMBER,1876,"1 Baron's Court, Pulteneytown, Wick",F,Harry,Jones,FISHERMAN,Sarah,Drake,,6,AUGUST,1862,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1004,1004,740,741,1004,226,741,740,,,,,,,,,NA
1006,252,252,Jessica,Anderson,7,SEPTEMBER,1876,"12 Gearra Mor, Na h-Eileanan Siar",F,Kieran,Anderson,DAY LABOURER,Jessica,Mullen,,29,OCTOBER,1875,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1006,1006,870,717,1006,252,717,870,,,,,,,,,NA
1008,230,230,Kelly,Black,14,FEBRUARY,1877,"1 Scotia Crescent, Swinhill, Larkhall",F,Jack,Black,FARMER 177 AC EMPLOYING 4 LAB & 2 WOMEN,Holly,Powell,,28,DECEMBER,1867,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,1008,1008,698,715,1008,230,715,698,,,,,,,,,NA
1010,237,237,Hannah,Cruickshanks,12,FEBRUARY,1877,"3 Pilot Place, Broadhaven, Caithness",F,Edward,Cruickshanks,PROVISSON MERCHANT,Naomi,Black,,26,JULY,1867,"Broadhaven Caithness",,SYNTHETIC DATA PRODUCED USING VALIPOP,1010,1010,724,711,1010,237,711,724,,,,,,,,,NA
1012,245,245,Isabel,Perrie,31,DECEMBER,1877,"6 Swanson Drive, Harden, Wick",F,Maximillian,Perrie,COAL MINNER,Uzma,Jones,,26,FEBRUARY,1872,"Harden Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1012,1012,794,739,1012,245,739,794,301,,,,,,,,NA
1014,240,240,Brooke,Mullen,5,NOVEMBER,1877,"581 Rathad an Duin, Na h-Eileanan Siar",F,Joshua,Mullen,FOUNDRY PORTER,Lauren,Mcbain,,22,DECEMBER,1868,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1014,1014,806,665,1014,240,665,806,300,,,,,,,,NA
1016,223,223,Daisy,Drake,9,FEBRUARY,1878,"1 St Molios Park, Croc, North Ayrshire",F,Alexander,Drake,FARMER OF 42 ACRES,Louise,Mcbain,DRESS MAKER,7,JULY,1863,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,1016,1016,628,613,1016,223,613,628,,,,,,,,,NA
1018,195,195,Harriet,Mcbain,2,MAY,1878,"1 Swanson Drive, Harden, Wick",F,Joshua,Mcbain,COTTON WEAVER,Natasha,Perrie,,29,JANUARY,1847,"Harden Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1018,1018,662,639,1018,195,639,662,,,,,,,,,NA
1020,211,211,Cerys,Black,9,MAY,1878,"1 Fife Park, Northbank Farm Steadings, Fife",F,Nicholas,Black,COAL TRIMMER,Enya,Mullen,,17,NOVEMBER,1855,"Northbank Farm Steadings Fife",,SYNTHETIC DATA PRODUCED USING VALIPOP,1020,1020,704,693,1020,211,693,704,,,,,,,,,NA
1022,216,216,Rebecca,Anderson,28,JUNE,1878,"1 Park Terrace, Croc, North Ayrshire",F,Joshua,Anderson,LABOURER,Keira,Anderson,SHIP MASTERS WIFE,5,MAY,1858,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,1022,1022,708,657,1022,216,657,708,,,,,,,,,NA
1024,237,237,Kelly,Cruickshanks,12,NOVEMBER,1878,"3 Pilot Place, Broadhaven, Caithness",F,Edward,Cruickshanks,PIT ROAD LAB,Naomi,Black,,26,JULY,1867,"Broadhaven Caithness",,SYNTHETIC DATA PRODUCED USING VALIPOP,1024,1024,724,711,1024,237,711,724,,,,,,,,,NA
1026,254,254,Wing,Anderson,13,OCTOBER,1878,"1 Hill Avenue, Pulteneytown, Wick",F,Liam,Anderson,LABOURER,Amy,Jones,,21,NOVEMBER,1875,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1026,1026,754,743,1026,254,743,754,,,,,,,,,NA
1028,236,236,Shona,Drake,9,NOVEMBER,1878,"1 Huddart Street, Pulteneytown, Wick",F,Toby,Drake,PRINT CUTTER TO CALICE & PRINTERS SEWED MUSLIN MANUFACTURERS,Sarah,Mcbain,,18,JANUARY,1867,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1028,1028,764,751,1028,236,751,764,,,,,,,,,NA
1030,241,241,Jessica,Powell,5,JULY,1878,"1 Young Crescent, Caithness",F,Jacob,Powell,WEAVER,Sarah,Perrie,,16,NOVEMBER,1869,"Caithness",,SYNTHETIC DATA PRODUCED USING VALIPOP,1030,1030,780,765,1030,241,765,780,307,,,,,,,,NA
1032,242,242,Iqrah,Cruickshanks,21,SEPTEMBER,1878,"11 Gearra Mor, Na h-Eileanan Siar",F,Qasim,Cruickshanks,BLACKSMITHS AP,Natasha,Mcbain,DOMESTIC SERVANT,20,NOVEMBER,1869,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1032,1032,802,789,1032,242,789,802,318,327,,,,,,,NA
1034,252,252,Jessica,Anderson,20,APRIL,1878,"12 Gearra Mor, Na h-Eileanan Siar",F,Kieran,Anderson,POST RUNNER CROFTER 4 ACRES,Jessica,Mullen,,29,OCTOBER,1875,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1034,1034,870,717,1034,252,717,870,309,,,,,,,,NA
1036,253,253,Aaliyah,Perrie,12,JANUARY,1879,"4 Pilot Place, Broadhaven, Caithness",F,Andrew,Perrie,PIT HEAD MAN COAL MINER,Joanna,Jones,,4,NOVEMBER,1875,"Broadhaven Caithness",,SYNTHETIC DATA PRODUCED USING VALIPOP,1036,1036,672,659,1036,253,659,672,,,,,,,,,NA
1038,230,230,Louisa,Black,18,JULY,1879,"1 Scotia Crescent, Swinhill, Larkhall",F,Jack,Black,COAL MINER,Holly,Powell,,28,DECEMBER,1867,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,1038,1038,698,715,1038,230,715,698,,,,,,,,,NA
1040,239,239,Chelsea,Mullen,8,MARCH,1879,"1 Holmfoot, Scottish Borders",F,Samuel,Mullen,LABOURER,Madison,Anderson,DOMESTIC SERV,10,JANUARY,1870,"Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,1040,1040,758,793,1040,239,793,758,,,,,,,,,NA
1042,256,256,Anya,Cruickshanks,8,MARCH,1879,"61 The Gardens, East Lothian",F,Jack,Cruickshanks,LABOURER,Penny,Drake,DOMESTIC SERVANT,24,APRIL,1875,"East Lothian",,SYNTHETIC DATA PRODUCED USING VALIPOP,1042,1042,800,801,1042,256,801,800,,,,,,,,,NA
1046,260,260,Ellouise,Cruickshanks,8,SEPTEMBER,1879,"1 Newton Avenue, Pulteneytown, Wick",F,Aminur,Cruickshanks,LABOURER,Rachel,Anderson,SCHOLAR,31,DECEMBER,1878,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1046,1046,880,819,1046,260,819,880,328,,,,,,,,NA
1044,257,257,Sian,Jones,22,FEBRUARY,1879,"2 Pilot Row, Broadhaven, Caithness",F,Rory,Jones,,Chantelle,Anderson,DOMESTIC SERVANT,20,OCTOBER,1878,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,1044,1044,830,799,1044,257,799,830,313,,,,,,,,NA
1048,215,215,Hannah,Cruickshanks,28,JUNE,1880,"1 Old Shore Road, Argyll and Bute",F,Benjamin,Cruickshanks,POWER LOOM WEAVER,Charley,Anderson,,9,OCTOBER,1876,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,1048,1048,670,671,1048,215,671,670,,,,,,,,,NA
1050,257,257,Aurora,Jones,15,JUNE,1880,"2 Pilot Row, Broadhaven, Caithness",F,Rory,Jones,,Chantelle,Anderson,DOMESTIC SERVANT,20,OCTOBER,1878,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,1050,1050,830,799,1050,257,799,830,,,,,,,,,NA
1052,262,262,Elysia,Mullen,8,OCTOBER,1880,"3 Hill Avenue, Pulteneytown, Wick",F,Aaron,Mullen,GROCER,Rhianna,Black,MERCHANT'S DAUR,12,SEPTEMBER,1877,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1052,1052,834,797,1052,262,797,834,,,,,,,,,NA
1054,225,225,Daisy,Anderson,22,JULY,1881,"3 Gearra Mor, Na h-Eileanan Siar",F,Harrison,Anderson,SHOEMAKER JOURNEYMN,Erin,Cruickshanks,HOUSE KEEPER,29,MAY,1873,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,1054,1054,718,697,1054,225,697,718,,,,,,,,,NA
1058,240,240,Zoe,Mullen,28,DECEMBER,1881,"581 Rathad an Duin, Na h-Eileanan Siar",F,Joshua,Mullen,FOUNDRY PORTER,Lauren,Mcbain,,22,DECEMBER,1868,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1058,1058,806,665,1058,240,665,806,,,,,,,,,NA
1060,261,261,Chelsea,Anderson,27,JANUARY,1881,"45 Corsar Croft, Kirkton, Angus",F,Charles,Anderson,COAL MINER,Amy,Jones,WASHERWOMAN,27,SEPTEMBER,1876,"Kirkton Angus",,SYNTHETIC DATA PRODUCED USING VALIPOP,1060,1060,836,845,1060,261,845,836,,,,,,,,,NA
1062,264,264,Katie,Mcbain,22,FEBRUARY,1881,"571 Rathad an Duin, Na h-Eileanan Siar",F,Oliver,Mcbain,PLOUGHMAN,Chloe,Grant,SERVT,24,JULY,1877,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1062,1062,876,843,1062,264,843,876,,,,,,,,,NA
1056,233,233,Laura,Cruickshanks,1,MAY,1881,"4 Swanson Drive, Harden, Wick",F,Fergus,Cruickshanks,AGR LABOURER,Sophie,Drake,,28,AUGUST,1866,"Harden Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1056,1056,736,673,1056,233,673,736,311,,,,,,,,NA
1064,266,266,Olivia,Anderson,31,AUGUST,1882,"5 Pilot Place, Broadhaven, Caithness",F,Oliver,Anderson,SCHOLAR,Sophia,Mcbain,,2,OCTOBER,1880,"Broadhaven Caithness",,SYNTHETIC DATA PRODUCED USING VALIPOP,1064,1064,668,905,1064,266,905,668,,,,,,,,,NA
1066,237,237,Sharna,Cruickshanks,23,NOVEMBER,1882,"3 Pilot Place, Broadhaven, Caithness",F,Edward,Cruickshanks,PIT ROAD LAB,Naomi,Black,,26,JULY,1867,"Broadhaven Caithness",,SYNTHETIC DATA PRODUCED USING VALIPOP,1066,1066,724,711,1066,237,711,724,,,,,,,,,NA
1070,245,245,Frances,Perrie,16,JANUARY,1882,"6 Swanson Drive, Harden, Wick",F,Maximillian,Perrie,AG LAB,Uzma,Jones,FARM SERV,26,FEBRUARY,1872,"Harden Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1070,1070,794,739,1070,245,739,794,314,,,,,,,,NA
1068,267,267,Abigail,Mcbain,25,JUNE,1882,"1 Millfield Place, Kirkton, Angus",F,James,Mcbain,FARMER'S SON,Daniella,Jones,,14,NOVEMBER,1879,"Kirkton Angus",,SYNTHETIC DATA PRODUCED USING VALIPOP,1068,1068,782,753,1068,267,753,782,315,,,,,,,,NA
1072,252,252,Chloe,Anderson,21,JUNE,1882,"12 Gearra Mor, Na h-Eileanan Siar",F,Kieran,Anderson,POST RUNNER CROFTER 4 ACRES,Jessica,Mullen,COTTON BLEACHER,29,OCTOBER,1875,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1072,1072,870,717,1072,252,717,870,317,,,,,,,,NA
1074,225,225,Jazmin,Anderson,4,MARCH,1883,"3 Gearra Mor, Na h-Eileanan Siar",F,Harrison,Anderson,SHOEMAKER JOURNEYMN,Erin,Cruickshanks,HOUSE KEEPER,29,MAY,1873,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,1074,1074,718,697,1074,225,697,718,,,,,,,,,NA
1076,268,268,Emily,Cruickshanks,11,JANUARY,1883,"1 Aldersyde, Argyll and Bute",F,Thomas,Cruickshanks,MECHANIC,Symone,Jones,,11,DECEMBER,1879,"Argyll and Bute",,SYNTHETIC DATA PRODUCED USING VALIPOP,1076,1076,790,851,1076,268,851,790,,,,,,,,,NA
1078,242,242,Katie,Cruickshanks,11,JANUARY,1883,"11 Gearra Mor, Na h-Eileanan Siar",F,Qasim,Cruickshanks,EARTHENWARE PRINTER,Natasha,Mcbain,AGR LABOURER,20,NOVEMBER,1869,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1078,1078,802,789,1078,242,789,802,,,,,,,,,NA
1080,269,269,Harriet,Perrie,15,JANUARY,1883,"252 Golf Course Road, Girvan, South Ayrshire",F,James,Perrie,SON & PLOUGHMAN,Amy,Grant,SEWER,5,JUNE,1879,"Girvan South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,1080,1080,838,821,1080,269,821,838,,,,,,,,,NA
1082,270,270,Lauren,Mullen,15,JULY,1883,"572 Rathad an Duin, Na h-Eileanan Siar",F,Abel,Mullen,FARMERS SON,Paige,Mcbain,,8,MARCH,1883,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1082,1082,860,891,1082,270,891,860,,,,,,,,,NA
1084,265,265,Hifsa,Anderson,8,MARCH,1883,"1 Murray Crescent, Croc, North Ayrshire",F,Dipesh,Anderson,FLESHER,Charlotte,Mcbain,DOMESTIC SERVANT,18,SEPTEMBER,1880,"Croc North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,1084,1084,872,837,1084,265,837,872,,,,,,,,,NA
1086,239,239,Emma,Mullen,14,JUNE,1884,"1 Holmfoot, Scottish Borders",F,Samuel,Mullen,LABOURER,Madison,Anderson,LINNEN WEAVER,10,JANUARY,1870,"Scottish Borders",,SYNTHETIC DATA PRODUCED USING VALIPOP,1086,1086,758,793,1086,239,793,758,,,,,,,,,NA
1088,256,256,Danielle,Cruickshanks,2,JANUARY,1884,"61 The Gardens, East Lothian",F,Jack,Cruickshanks,LAWYERS GENERAL CLERK,Penny,Drake,GENERAL WORKER,24,APRIL,1875,"East Lothian",,SYNTHETIC DATA PRODUCED USING VALIPOP,1088,1088,800,801,1088,256,801,800,,,,,,,,,NA
1090,248,248,Tia,Drake,23,MAY,1884,"1 Ladylands Drive, Glenburn Hall, Jedburgh",F,Alexander,Drake,MASON,Georgia,Drake,,11,DECEMBER,1870,"Glenburn Hall Jedburgh ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1090,1090,818,663,1090,248,663,818,,,,,,,,,NA
1092,241,241,Charley,Powell,31,AUGUST,1885,"1 Young Crescent, Caithness",F,Jacob,Powell,LAB,Sarah,Perrie,,16,NOVEMBER,1869,"Caithness",,SYNTHETIC DATA PRODUCED USING VALIPOP,1092,1092,780,765,1092,241,765,780,,,,,,,,,NA
1094,263,263,Aaliyah,Anderson,27,JULY,1885,"570 Rathad an Duin, Na h-Eileanan Siar",F,Teejay,Anderson,PLOUGHMAN,Faye,Mcbain,DOMESTIC SERVANT,29,MAY,1879,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1094,1094,822,771,1094,263,771,822,,,,,,,,,NA
1096,272,272,Danni,Cruickshanks,4,AUGUST,1885,"1 Tighean Allt na Broige, Na h-Eileanan Siar",F,Paul,Cruickshanks,SCHOLAR,Rhianna,Black,MERCHANT'S DAUR,25,JULY,1883,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1096,1096,834,933,1096,272,933,834,,,,,,,,,NA
1098,273,273,Jessica,Mullen,16,JUNE,1885,"574 Rathad an Duin, Na h-Eileanan Siar",F,Niall,Mullen,PLOUGHMAN,Katie,Jones,DOMESTIC SERVANT,22,JUNE,1882,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1098,1098,844,907,1098,273,907,844,337,,,,,,,,NA
1100,275,275,Abigail,Black,26,SEPTEMBER,1885,"2 The Glebe, Pulteneytown, Wick",F,Charles,Black,PRINTER PRESSMAN,Chloe,Cruickshanks,COTTON MILL WORKER,23,FEBRUARY,1883,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1100,1100,840,861,1100,275,861,840,322,,,,,,,,NA
1102,276,276,Ciara,Mullen,10,MAY,1885,"2 Gearra Mor, Na h-Eileanan Siar",F,Rory,Mullen,COACHMAN DOMESTIC SERV,Chloe,Drake,AG LAB,25,JANUARY,1882,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1102,1102,878,881,1102,276,881,878,321,,,,,,,,NA
1104,236,236,Aysha,Drake,26,NOVEMBER,1886,"1 Huddart Street, Pulteneytown, Wick",F,Toby,Drake,AG LAB,Sarah,Mcbain,FUND HOLDER,18,JANUARY,1867,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1104,1104,764,751,1104,236,751,764,,,,,,,,,NA
1106,278,278,Chloe,Perrie,15,JULY,1886,"1 Buie Haugh, Echline, Kirkliston",F,Dylan,Perrie,LABOURER IN SUGAR HOUSE,Georgia,Drake,,16,FEBRUARY,1886,"Echline Kirkliston ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1106,1106,818,835,1106,278,835,818,,,,,,,,,NA
1108,276,276,Eleanor,Mullen,15,JANUARY,1886,"2 Gearra Mor, Na h-Eileanan Siar",F,Rory,Mullen,COACHMAN DOMESTIC SERV,Chloe,Drake,AG LAB,25,JANUARY,1882,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1108,1108,878,881,1108,276,881,878,,,,,,,,,NA
1110,277,277,Alisha,Jones,17,MAY,1886,"102 Lower Station Road, Auchreoch, Stirling",F,Aydin,Jones,WRIGHT,Robyn,Anderson,DOMESTIC SERVANT,28,SEPTEMBER,1882,"Auchreoch Stirling",,SYNTHETIC DATA PRODUCED USING VALIPOP,1110,1110,910,863,1110,277,863,910,,,,,,,,,NA
1112,226,226,Natalie,Jones,16,JUNE,1887,"1 Baron's Court, Pulteneytown, Wick",F,Harry,Jones,CROFTER,Sarah,Drake,,6,AUGUST,1862,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1112,1112,740,741,1112,226,741,740,,,,,,,,,NA
1114,242,242,Mary,Cruickshanks,22,NOVEMBER,1887,"11 Gearra Mor, Na h-Eileanan Siar",F,Qasim,Cruickshanks,EARTHENWARE PRINTER,Natasha,Mcbain,AGR LABOURER,20,NOVEMBER,1869,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1114,1114,802,789,1114,242,789,802,,,,,,,,,NA
1116,257,257,Ayisha,Jones,5,MAY,1887,"2 Pilot Row, Broadhaven, Caithness",F,Rory,Jones,ALLUM MARK WORKER,Chantelle,Anderson,STAYMAKER,20,OCTOBER,1878,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,1116,1116,830,799,1116,257,799,830,,,,,,,,,NA
1118,252,252,Lily,Anderson,2,MAY,1887,"12 Gearra Mor, Na h-Eileanan Siar",F,Kieran,Anderson,POST RUNNER CROFTER 4 ACRES,Jessica,Mullen,COTTON BLEACHER,29,OCTOBER,1875,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1118,1118,870,717,1118,252,717,870,,,,,,,,,NA
1120,277,277,Stacey,Jones,21,NOVEMBER,1887,"102 Lower Station Road, Auchreoch, Stirling",F,Aydin,Jones,WRIGHT,Robyn,Anderson,DOMESTIC SERVANT,28,SEPTEMBER,1882,"Auchreoch Stirling",,SYNTHETIC DATA PRODUCED USING VALIPOP,1120,1120,910,863,1120,277,863,910,319,,,,,,,,NA
1122,263,263,Malandra,Anderson,26,APRIL,1888,"570 Rathad an Duin, Na h-Eileanan Siar",F,Teejay,Anderson,RAILY LABR,Faye,Mcbain,DOMESTIC SERVANT,29,MAY,1879,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1122,1122,822,771,1122,263,771,822,,,,,,,,,NA
1124,264,264,Shazia,Mcbain,7,NOVEMBER,1888,"571 Rathad an Duin, Na h-Eileanan Siar",F,Oliver,Mcbain,LABOURER AT COLLIERY,Chloe,Grant,SERVT,24,JULY,1877,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1124,1124,876,843,1124,264,843,876,,,,,,,,,NA
1126,280,280,Anya,Cruickshanks,20,FEBRUARY,1889,"1 Mowat Place, Broadhaven, Wick",F,Aminur,Cruickshanks,WOOL WARPER,Megan,Jones,,15,APRIL,1888,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,1126,1126,808,819,1126,280,819,808,,,,,,,,,NA
1128,283,283,Sophie,Black,9,JANUARY,1889,"4 Gearra Mor, Na h-Eileanan Siar",F,Matthew,Black,PLOUGHMAN,Laura,Cruickshanks,,17,DECEMBER,1889,,,SYNTHETIC DATA PRODUCED USING VALIPOP,1128,1128,940,929,1128,283,929,940,,,,,,,,,NA
1130,280,280,Corinna,Cruickshanks,17,OCTOBER,1890,"1 Mowat Place, Broadhaven, Wick",F,Aminur,Cruickshanks,WOOL WARPER,Megan,Jones,,15,APRIL,1888,,illegitimate,SYNTHETIC DATA PRODUCED USING VALIPOP,1130,1130,808,819,1130,280,819,808,,,,,,,,,NA
1132,240,240,Lucinda,Mullen,13,NOVEMBER,1890,"581 Rathad an Duin, Na h-Eileanan Siar",F,Joshua,Mullen,FISHERMAN,Lauren,Mcbain,,22,DECEMBER,1868,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1132,1132,806,665,1132,240,665,806,,,,,,,,,NA
1134,263,263,Abigail,Anderson,20,SEPTEMBER,1890,"570 Rathad an Duin, Na h-Eileanan Siar",F,Teejay,Anderson,RAILY LABR,Faye,Mcbain,DOMESTIC SERVANT,29,MAY,1879,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1134,1134,822,771,1134,263,771,822,,,,,,,,,NA
1138,276,276,Samantha,Mullen,8,SEPTEMBER,1890,"2 Gearra Mor, Na h-Eileanan Siar",F,Rory,Mullen,COACHMAN DOMESTIC SERV,Chloe,Drake,AG LAB,25,JANUARY,1882,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1138,1138,878,881,1138,276,881,878,,,,,,,,,NA
1140,282,282,Katherine,Mcbain,4,JUNE,1890,"1 Waverley Road, Pulteneytown, Wick",F,Thomas,Mcbain,FISHERMAN,Leoni,Anderson,,14,AUGUST,1887,"Pulteneytown Wick ",,SYNTHETIC DATA PRODUCED USING VALIPOP,1140,1140,898,791,1140,282,791,898,,,,,,,,,NA
1142,284,284,Hayleigh,Jones,2,DECEMBER,1890,"13 Gearra Mor, Na h-Eileanan Siar",F,Danyaal,Jones,SOLDIER,Kayleigh,Mullen,HOUSE KEEPER,7,JULY,1886,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1142,1142,942,887,1142,284,887,942,348,,,,,,,,NA
1136,274,274,Kerri,Grant,26,DECEMBER,1890,"89 Upper Kinneddar, Fife",F,Samuel,Grant,LABOURER,Gemma,Mcbain,,14,FEBRUARY,1882,"Fife",,SYNTHETIC DATA PRODUCED USING VALIPOP,1136,1136,846,865,1136,274,865,846,323,,,,,,,,NA
1146,279,279,Holly,Mcbain,4,JUNE,1891,"583 Rathad an Duin, Na h-Eileanan Siar",F,Kyle,Mcbain,TEACHER ENGLISH BRANCHES,Rachel,Anderson,MILL WORKER,26,AUGUST,1885,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1146,1146,880,839,1146,279,839,880,336,,,,,,,,NA
1144,241,241,Laura,Powell,7,JANUARY,1891,"1 Young Crescent, Caithness",F,Jacob,Powell,LAB,Sarah,Perrie,WAREHOUSE WOMAN,16,NOVEMBER,1869,"Caithness",,SYNTHETIC DATA PRODUCED USING VALIPOP,1144,1144,780,765,1144,241,765,780,326,,,,,,,,NA
1148,286,286,Charlotte,Black,4,FEBRUARY,1891,"568 Rathad an Duin, Na h-Eileanan Siar",F,Daniel,Black,COAL MINER,Billie,Mcbain,DOMESTIC SERVANT,9,OCTOBER,1888,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1148,1148,886,885,1148,286,885,886,331,,,,,,,,NA
1150,240,240,Charlotte,Mullen,12,JUNE,1892,"581 Rathad an Duin, Na h-Eileanan Siar",F,Joshua,Mullen,SCAVENGER,Lauren,Mcbain,,22,DECEMBER,1868,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1150,1150,806,665,1150,240,665,806,,,,,,,,,NA
1152,242,242,Sara,Cruickshanks,22,SEPTEMBER,1892,"11 Gearra Mor, Na h-Eileanan Siar",F,Qasim,Cruickshanks,RAILWAY WAGGON MENDER,Natasha,Mcbain,,20,NOVEMBER,1869,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1152,1152,802,789,1152,242,789,802,,,,,,,,,NA
1154,264,264,Marya,Mcbain,17,FEBRUARY,1892,"571 Rathad an Duin, Na h-Eileanan Siar",F,Oliver,Mcbain,LABOURER AT COLLIERY,Chloe,Grant,FLAX SPIN,24,JULY,1877,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,1154,1154,876,843,1154,264,843,876,325,,,,,,,,NA
1156,288,288,Alexandra,Mcbain,10,SEPTEMBER,1892,"1 Mowat Road, Caithness",F,David,Mcbain,PLOUGHMAN,Hannah,Grant,HOUSE MAID,5,MARCH,1891,"Caithness",,SYNTHETIC DATA PRODUCED USING VALIPOP,1156,1156,924,947,1156,288,947,924,324,,,,,,,,NA
1158,290,290,Hollie,Perrie,31,JANUARY,1892,"1589 Castle Road, South Ayrshire",F,George,Perrie,FARMERS SON,Jessica,Cruickshanks,COTTON MILL WORKER,7,DECEMBER,1889,"South Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,1158,1158,934,903,1158,290,903,934,330,,,,,,,,NA
